date,property_type,asking_price,transaction_price,Rents - Industrial and commercial space ,Rents - Office space ,Rents - Rental housing units ,Rents - Retail space ,Acquisition of Swiss citizenship,Natural Change,Net migration,Switzerland - CHF - Call money rate (Tomorrow next) - 1 day,Origination - Relevant foreign currency positions,Origination - Securities portfolio,Origination - Money market transactions,Origination - Other,Origination - Monetary base,Utilisation - Banknotes in circulation,Utilisation - Sight deposit accounts of domestic banks,Utilisation - Monetary base,Seasonally adjusted - Monetary base,Level - Currency in circulation,Level - Deposits in transaction accounts,Level - Monetary aggregate M3,Banks in Switzerland - Total domestic and foreign - Total loans - Utilisation,Banks in Switzerland - Total domestic and foreign - Mortgage loans - Utilisation,"Value, in CHF millions - Gross domestic product",population,SFSO - Inflation according to the national consumer price index
2000-01-01,Single-family houses,100.0,100.0,100.0,100.0,100.0,100.0,28700.0,15930.0,20224.0,2.79021,80716.0,4970.25,19312.83333,70202.41667,34796.66667,31550.25,3246.41667,34796.66667,34800.0,29599.08333,73901.0,472590.0,703835.25,451080.08333,471707.25335,7184250.0,1.55
2001-01-01,Apartment buildings,,76.77704585992541,98.10294653363407,104.80127850628548,101.83568360450961,99.33741061474657,27583.0,11067.0,41843.0,2.85083,87556.25,5747.0,17487.16667,74491.5,36298.91667,33047.08333,3251.83333,36298.91667,36303.5,31119.0,75067.33333,487605.66667,715805.83333,453290.83333,483978.42518,7229854.0,1.00833
2001-01-01,Privately owned apartments,104.29728972343595,101.5038543253528,98.10294653363407,104.80127850628548,101.83568360450961,99.33741061474657,27583.0,11067.0,41843.0,2.85083,87556.25,5747.0,17487.16667,74491.5,36298.91667,33047.08333,3251.83333,36298.91667,36303.5,31119.0,75067.33333,487605.66667,715805.83333,453290.83333,483978.42518,7229854.0,1.00833
2001-01-01,Single-family houses,101.92728465391963,102.556347698754,98.10294653363407,104.80127850628548,101.83568360450961,99.33741061474657,27583.0,11067.0,41843.0,2.85083,87556.25,5747.0,17487.16667,74491.5,36298.91667,33047.08333,3251.83333,36298.91667,36303.5,31119.0,75067.33333,487605.66667,715805.83333,453290.83333,483978.42518,7229854.0,1.00833
2002-01-01,Apartment buildings,,75.77592317992718,99.7068695255227,106.64583984395549,105.40160017935169,103.66350187888902,36515.0,10604.0,48921.0,0.9525,86458.91667,6395.66667,21581.58333,76052.5,38383.66667,35125.5,3258.16667,38383.66667,38384.16667,32790.16667,80951.58333,508241.58333,713615.58333,470501.66667,482509.49014,7284753.0,0.63333
2002-01-01,Privately owned apartments,112.4007867833266,102.72078624067764,99.7068695255227,106.64583984395549,105.40160017935169,103.66350187888902,36515.0,10604.0,48921.0,0.9525,86458.91667,6395.66667,21581.58333,76052.5,38383.66667,35125.5,3258.16667,38383.66667,38384.16667,32790.16667,80951.58333,508241.58333,713615.58333,470501.66667,482509.49014,7284753.0,0.63333
2002-01-01,Single-family houses,106.64691797315835,101.46541843587896,99.7068695255227,106.64583984395549,105.40160017935169,103.66350187888902,36515.0,10604.0,48921.0,0.9525,86458.91667,6395.66667,21581.58333,76052.5,38383.66667,35125.5,3258.16667,38383.66667,38384.16667,32790.16667,80951.58333,508241.58333,713615.58333,470501.66667,482509.49014,7284753.0,0.63333
2003-01-01,Apartment buildings,,77.17177591568746,103.539456977442,106.0919773431491,108.82208243036709,104.95341430771259,35424.0,8778.0,43027.0,0.17083,85814.33333,7419.83333,23204.25,76026.08333,40412.33333,35662.58333,4749.75,40412.33333,40417.33333,33207.08333,90186.66667,552156.91667,707317.25,488054.41667,487659.86504,7339001.0,0.625
2003-01-01,Privately owned apartments,119.4837963452525,105.50710448815681,103.539456977442,106.0919773431491,108.82208243036709,104.95341430771259,35424.0,8778.0,43027.0,0.17083,85814.33333,7419.83333,23204.25,76026.08333,40412.33333,35662.58333,4749.75,40412.33333,40417.33333,33207.08333,90186.66667,552156.91667,707317.25,488054.41667,487659.86504,7339001.0,0.625
2003-01-01,Single-family houses,109.8273951457238,103.0928800848385,103.539456977442,106.0919773431491,108.82208243036709,104.95341430771259,35424.0,8778.0,43027.0,0.17083,85814.33333,7419.83333,23204.25,76026.08333,40412.33333,35662.58333,4749.75,40412.33333,40417.33333,33207.08333,90186.66667,552156.91667,707317.25,488054.41667,487659.86504,7339001.0,0.625
