,date,target_appartments_asking_price,target_appartments_transaction_price,target_houses_asking_price,target_houses_transaction_price,M3_supply_lag1,M3_supply_lag2,M3_supply_lag3,acquisition_ch_citizenship_lag1,acquisition_ch_citizenship_lag2,acquisition_ch_citizenship_lag3,average_call_money_rate_lag1,average_call_money_rate_lag2,average_call_money_rate_lag3,banknotes_in_circulation_lag1,banknotes_in_circulation_lag2,banknotes_in_circulation_lag3,ch_net_migration_lag1,ch_net_migration_lag2,ch_net_migration_lag3,currency_in_circulation_lag1,currency_in_circulation_lag2,currency_in_circulation_lag3,deposits_in_transaction_accounts_lag1,deposits_in_transaction_accounts_lag2,deposits_in_transaction_accounts_lag3,gpd_lag1,gpd_lag2,gpd_lag3,inflation_lag1,inflation_lag2,inflation_lag3,money_origin_foreign_currency_position_lag1,money_origin_foreign_currency_position_lag2,money_origin_foreign_currency_position_lag3,money_origin_monetary_base_lag1,money_origin_monetary_base_lag2,money_origin_monetary_base_lag3,money_origin_money_market_transactions_lag1,money_origin_money_market_transactions_lag2,money_origin_money_market_transactions_lag3,money_origin_other_lag1,money_origin_other_lag2,money_origin_other_lag3,money_origin_securities_portfolio_lag1,money_origin_securities_portfolio_lag2,money_origin_securities_portfolio_lag3,pop_natural_change_lag1,pop_natural_change_lag2,pop_natural_change_lag3,population_lag1,population_lag2,population_lag3,rents_houses_lag1,rents_houses_lag2,rents_houses_lag3,rents_industrial_commercial_lag1,rents_industrial_commercial_lag2,rents_industrial_commercial_lag3,rents_office_lag1,rents_office_lag2,rents_office_lag3,rents_retail_lag1,rents_retail_lag2,rents_retail_lag3,sight_deposits_banks_lag1,sight_deposits_banks_lag2,sight_deposits_banks_lag3,swiss_banks_mortgage_loans_lag1,swiss_banks_mortgage_loans_lag2,swiss_banks_mortgage_loans_lag3,swiss_banks_total_loans_lag1,swiss_banks_total_loans_lag2,swiss_banks_total_loans_lag3,target_appartments_asking_price_lag1,target_appartments_asking_price_lag2,target_appartments_asking_price_lag3,target_appartments_transaction_price_lag1,target_appartments_transaction_price_lag2,target_appartments_transaction_price_lag3,target_houses_asking_price_lag1,target_houses_asking_price_lag2,target_houses_asking_price_lag3,target_houses_transaction_price_lag1,target_houses_transaction_price_lag2,target_houses_transaction_price_lag3
137,1998-01-01,98.40839340524208,102.15156646294152,99.22895887987863,96.08532281874572,468179.0,445483.83333,416682.66667,19169.0,19375.0,16795.0,1.24479,1.6875,2.75521,29003.5,28221.16667,27572.58333,-6834.0,-5807.0,14458.0,27568.58333,26703.58333,26021.16667,64579.0,60286.66667,54141.0,427876.24593,420537.7386,417529.12955,0.51667,0.80833,1.8,62157.75,52218.0,54312.5,32716.58333,31156.91667,30146.58333,1552.08333,1730.08333,1712.75,35869.83333,25819.91667,28943.16667,4876.58333,3028.75,3064.5,17745.0,20370.0,18816.0,7088906.0,7071850.0,7040687.0,106.38426078698546,112.67227188568813,122.9187730030811,98.4086590387402,101.72086481412414,116.27119164373075,98.74199366732793,101.64099504734885,103.7570537045917,103.28566743234265,109.88456656347894,115.81345629397133,3713.08333,2935.75,2574.0,421671.72272,408669.7682,392614.38715,640961.21181,626203.4869,614465.47164,99.75544249788493,104.50111465597618,108.31094935539774,104.10153582209348,107.47249416339429,109.565881771874,100.09309133984463,103.69988192305144,109.99214710805201,96.4392221810147,98.15503410347351,101.15597700428795
138,1999-01-01,98.5334622454248,99.71342424208608,99.08164045177773,97.16649271281163,473688.33333,468179.0,445483.83333,21279.0,19169.0,19375.0,1.21875,1.24479,1.6875,29564.75,29003.5,28221.16667,1177.0,-6834.0,-5807.0,27961.91667,27568.58333,26703.58333,68751.75,64579.0,60286.66667,439633.46241,427876.24593,420537.7386,0.01667,0.51667,0.80833,64298.25,62157.75,52218.0,33627.75,32716.58333,31156.91667,7326.5,1552.08333,1730.08333,42957.66667,35869.83333,25819.91667,4960.66667,4876.58333,3028.75,16380.0,17745.0,20370.0,7110001.0,7088906.0,7071850.0,102.03955865711056,106.38426078698546,112.67227188568813,97.25347125605953,98.4086590387402,101.72086481412414,96.65350093877673,98.74199366732793,101.64099504734885,96.70942258865624,103.28566743234265,109.88456656347894,4063.0,3713.08333,2935.75,433002.66667,421671.72272,408669.7682,649463.08333,640961.21181,626203.4869,98.40839340524208,99.75544249788493,104.50111465597618,102.15156646294152,104.10153582209348,107.47249416339429,99.22895887987863,100.09309133984463,103.69988192305144,96.08532281874572,96.4392221810147,98.15503410347351
139,2000-01-01,100.0,100.0,100.0,100.0,479797.25,473688.33333,468179.0,20363.0,21279.0,19169.0,0.94531,1.21875,1.24479,30810.16667,29564.75,29003.5,16149.0,1177.0,-6834.0,28915.16667,27961.91667,27568.58333,73595.08333,68751.75,64579.0,447010.87261,439633.46241,427876.24593,0.80833,0.01667,0.51667,66065.33333,64298.25,62157.75,34499.66667,33627.75,32716.58333,16874.25,7326.5,1552.08333,53358.41667,42957.66667,35869.83333,4918.5,4960.66667,4876.58333,15905.0,16380.0,17745.0,7143991.0,7110001.0,7088906.0,99.73256511414866,102.03955865711056,106.38426078698546,99.00509355975244,97.25347125605953,98.4086590387402,96.96563276267345,96.65350093877673,98.74199366732793,94.01391933851436,96.70942258865624,103.28566743234265,3689.5,4063.0,3713.08333,448365.0,433002.66667,421671.72272,679329.83333,649463.08333,640961.21181,98.5334622454248,98.40839340524208,99.75544249788493,99.71342424208608,102.15156646294152,104.10153582209348,99.08164045177773,99.22895887987863,100.09309133984463,97.16649271281163,96.08532281874572,96.4392221810147
140,2001-01-01,104.29728972343595,101.5038543253528,101.92728465391963,102.556347698754,472590.0,479797.25,473688.33333,28700.0,20363.0,21279.0,2.79021,0.94531,1.21875,31550.25,30810.16667,29564.75,20224.0,16149.0,1177.0,29599.08333,28915.16667,27961.91667,73901.0,73595.08333,68751.75,471707.25335,447010.87261,439633.46241,1.55,0.80833,0.01667,80716.0,66065.33333,64298.25,34796.66667,34499.66667,33627.75,19312.83333,16874.25,7326.5,70202.41667,53358.41667,42957.66667,4970.25,4918.5,4960.66667,15930.0,15905.0,16380.0,7184250.0,7143991.0,7110001.0,100.0,99.73256511414866,102.03955865711056,100.0,99.00509355975244,97.25347125605953,100.0,96.96563276267345,96.65350093877673,100.0,94.01391933851436,96.70942258865624,3246.41667,3689.5,4063.0,451080.08333,448365.0,433002.66667,703835.25,679329.83333,649463.08333,100.0,98.5334622454248,98.40839340524208,100.0,99.71342424208608,102.15156646294152,100.0,99.08164045177773,99.22895887987863,100.0,97.16649271281163,96.08532281874572
141,2002-01-01,112.4007867833266,102.72078624067764,106.64691797315835,101.46541843587896,487605.66667,472590.0,479797.25,27583.0,28700.0,20363.0,2.85083,2.79021,0.94531,33047.08333,31550.25,30810.16667,41843.0,20224.0,16149.0,31119.0,29599.08333,28915.16667,75067.33333,73901.0,73595.08333,483978.42518,471707.25335,447010.87261,1.00833,1.55,0.80833,87556.25,80716.0,66065.33333,36298.91667,34796.66667,34499.66667,17487.16667,19312.83333,16874.25,74491.5,70202.41667,53358.41667,5747.0,4970.25,4918.5,11067.0,15930.0,15905.0,7229854.0,7184250.0,7143991.0,101.83568360450961,100.0,99.73256511414866,98.10294653363407,100.0,99.00509355975244,104.80127850628548,100.0,96.96563276267345,99.33741061474657,100.0,94.01391933851436,3251.83333,3246.41667,3689.5,453290.83333,451080.08333,448365.0,715805.83333,703835.25,679329.83333,104.29728972343595,100.0,98.5334622454248,101.5038543253528,100.0,99.71342424208608,101.92728465391963,100.0,99.08164045177773,102.556347698754,100.0,97.16649271281163
142,2003-01-01,119.4837963452525,105.50710448815681,109.8273951457238,103.0928800848385,508241.58333,487605.66667,472590.0,36515.0,27583.0,28700.0,0.9525,2.85083,2.79021,35125.5,33047.08333,31550.25,48921.0,41843.0,20224.0,32790.16667,31119.0,29599.08333,80951.58333,75067.33333,73901.0,482509.49014,483978.42518,471707.25335,0.63333,1.00833,1.55,86458.91667,87556.25,80716.0,38383.66667,36298.91667,34796.66667,21581.58333,17487.16667,19312.83333,76052.5,74491.5,70202.41667,6395.66667,5747.0,4970.25,10604.0,11067.0,15930.0,7284753.0,7229854.0,7184250.0,105.40160017935169,101.83568360450961,100.0,99.7068695255227,98.10294653363407,100.0,106.64583984395549,104.80127850628548,100.0,103.66350187888902,99.33741061474657,100.0,3258.16667,3251.83333,3246.41667,470501.66667,453290.83333,451080.08333,713615.58333,715805.83333,703835.25,112.4007867833266,104.29728972343595,100.0,102.72078624067764,101.5038543253528,100.0,106.64691797315835,101.92728465391963,100.0,101.46541843587896,102.556347698754,100.0
143,2004-01-01,122.51564526921092,109.6076464564208,112.42439345829396,104.8097385381745,552156.91667,508241.58333,487605.66667,35424.0,36515.0,27583.0,0.17083,0.9525,2.85083,35662.58333,35125.5,33047.08333,43027.0,48921.0,41843.0,33207.08333,32790.16667,31119.0,90186.66667,80951.58333,75067.33333,487659.86504,482509.49014,483978.42518,0.625,0.63333,1.00833,85814.33333,86458.91667,87556.25,40412.33333,38383.66667,36298.91667,23204.25,21581.58333,17487.16667,76026.08333,76052.5,74491.5,7419.83333,6395.66667,5747.0,8778.0,10604.0,11067.0,7339001.0,7284753.0,7229854.0,108.82208243036709,105.40160017935169,101.83568360450961,103.539456977442,99.7068695255227,98.10294653363407,106.0919773431491,106.64583984395549,104.80127850628548,104.95341430771259,103.66350187888902,99.33741061474657,4749.75,3258.16667,3251.83333,488054.41667,470501.66667,453290.83333,707317.25,713615.58333,715805.83333,119.4837963452525,112.4007867833266,104.29728972343595,105.50710448815681,102.72078624067764,101.5038543253528,109.8273951457238,106.64691797315835,101.92728465391963,103.0928800848385,101.46541843587896,102.556347698754
144,2005-01-01,125.22696492026614,113.31855684677434,113.6337473821883,107.87792419901382,572835.41667,552156.91667,508241.58333,35685.0,35424.0,36515.0,0.2825,0.17083,0.9525,36263.91667,35662.58333,35125.5,40462.0,43027.0,48921.0,33687.08333,33207.08333,32790.16667,93047.16667,90186.66667,80951.58333,501701.46634,487659.86504,482509.49014,0.8,0.625,0.63333,86848.83333,85814.33333,86458.91667,41708.0,40412.33333,38383.66667,22119.41667,23204.25,21581.58333,74839.83333,76026.08333,76052.5,7579.58333,7419.83333,6395.66667,12902.0,8778.0,10604.0,7389625.0,7339001.0,7284753.0,112.5591306155973,108.82208243036709,105.40160017935169,103.26578428703017,103.539456977442,99.7068695255227,106.49412787941095,106.0919773431491,106.64583984395549,107.75426860287168,104.95341430771259,103.66350187888902,5444.08333,4749.75,3258.16667,508310.08333,488054.41667,470501.66667,733775.16667,707317.25,713615.58333,122.51564526921092,119.4837963452525,112.4007867833266,109.6076464564208,105.50710448815681,102.72078624067764,112.42439345829396,109.8273951457238,106.64691797315835,104.8097385381745,103.0928800848385,101.46541843587896
145,2006-01-01,126.99066944830034,120.0759828258568,116.45865743403832,113.34267726709281,598483.75,572835.41667,552156.91667,38437.0,35685.0,35424.0,0.635,0.2825,0.17083,37061.66667,36263.91667,35662.58333,36180.0,40462.0,43027.0,34409.08333,33687.08333,33207.08333,96550.75,93047.16667,90186.66667,520819.42618,501701.46634,487659.86504,1.175,0.8,0.625,77276.0,86848.83333,85814.33333,41871.41667,41708.0,40412.33333,21014.0,22119.41667,23204.25,62364.5,74839.83333,76026.08333,5945.91667,7579.58333,7419.83333,11779.0,12902.0,8778.0,7437115.0,7389625.0,7339001.0,116.84349312340095,112.5591306155973,108.82208243036709,103.80975892923531,103.26578428703017,103.539456977442,106.88310246758013,106.49412787941095,106.0919773431491,104.88059386313597,107.75426860287168,104.95341430771259,4809.75,5444.08333,4749.75,537468.91667,508310.08333,488054.41667,778301.75,733775.16667,707317.25,125.22696492026614,122.51564526921092,119.4837963452525,113.31855684677434,109.6076464564208,105.50710448815681,113.6337473821883,112.42439345829396,109.8273951457238,107.87792419901382,104.8097385381745,103.0928800848385
146,2007-01-01,130.15611776197932,129.14549633619524,118.85988892271129,120.44622740048639,614317.16667,598483.75,572835.41667,46711.0,38437.0,35685.0,1.33167,0.635,0.2825,38110.08333,37061.66667,36263.91667,39368.0,36180.0,40462.0,35235.25,34409.08333,33687.08333,97889.0,96550.75,93047.16667,554078.31005,520819.42618,501701.46634,1.075,1.175,0.8,76349.0,77276.0,86848.83333,43123.66667,41871.41667,41708.0,20786.33333,21014.0,22119.41667,59270.41667,62364.5,74839.83333,5258.75,5945.91667,7579.58333,13088.0,11779.0,12902.0,7483934.0,7437115.0,7389625.0,120.65254049014216,116.84349312340095,112.5591306155973,104.80639543977111,103.80975892923531,103.26578428703017,107.70811710257253,106.88310246758013,106.49412787941095,107.2002993571972,104.88059386313597,107.75426860287168,5013.58333,4809.75,5444.08333,580605.66667,537468.91667,508310.08333,842881.58333,778301.75,733775.16667,126.99066944830034,125.22696492026614,122.51564526921092,120.0759828258568,113.31855684677434,109.6076464564208,116.45865743403832,113.6337473821883,112.42439345829396,113.34267726709281,107.87792419901382,104.8097385381745
147,2008-01-01,135.5107307006537,136.56189468256193,122.05189619332815,127.3131196224142,629196.41667,614317.16667,598483.75,43889.0,46711.0,38437.0,2.165,1.33167,0.635,38943.16667,38110.08333,37061.66667,75459.0,39368.0,36180.0,35955.75,35235.25,34409.08333,92163.91667,97889.0,96550.75,589474.12521,554078.31005,520819.42618,0.73333,1.075,1.175,80326.91667,76349.0,77276.0,44197.75,43123.66667,41871.41667,21748.91667,20786.33333,21014.0,62344.58333,59270.41667,62364.5,4466.5,5258.75,5945.91667,13405.0,13088.0,11779.0,7551117.0,7483934.0,7437115.0,123.73518946777058,120.65254049014216,116.84349312340095,108.29187173896004,104.80639543977111,103.80975892923531,107.14810291323266,107.70811710257253,106.88310246758013,106.8057709731714,107.2002993571972,104.88059386313597,5254.58333,5013.58333,4809.75,645742.16667,580605.66667,537468.91667,951046.25,842881.58333,778301.75,130.15611776197932,126.99066944830034,125.22696492026614,129.14549633619524,120.0759828258568,113.31855684677434,118.85988892271129,116.45865743403832,113.6337473821883,120.44622740048639,113.34267726709281,107.87792419901382
